"120","AMBC","Ambac Financial Group, Inc.","http://www.nasdaq.com/symbol/ambc","Finance","Property-Casualty Insurers"
"121","AMBCW","Ambac Financial Group, Inc.","http://www.nasdaq.com/symbol/ambcw","Finance","Property-Casualty Insurers"
"122","AMBA","Ambarella, Inc.","http://www.nasdaq.com/symbol/amba","Technology","Semiconductors"
"123","EPAX","Ambassadors Group, Inc.","http://www.nasdaq.com/symbol/epax","Consumer Services","Other Consumer Services"
"124","AMCX","AMC Networks Inc.","http://www.nasdaq.com/symbol/amcx","Consumer Services","Television Services"
"125","DOX","Amdocs Limited","http://www.nasdaq.com/symbol/dox","Technology","EDP Services"
"126","AMDA","Amedica Corporation","http://www.nasdaq.com/symbol/amda","Health Care","Medical/Dental Instruments"
"127","AMED","Amedisys Inc","http://www.nasdaq.com/symbol/amed","Health Care","Medical/Nursing Services"
"128","UHAL","Amerco","http://www.nasdaq.com/symbol/uhal","Consumer Services","Rental/Leasing Companies"
"129","ASBI","Ameriana Bancorp","http://www.nasdaq.com/symbol/asbi","Finance","Savings Institutions"
"130","ATAX","America First Multifamily Investors, L.P.","http://www.nasdaq.com/symbol/atax","Finance","Finance: Consumer Services"
"131","AMOV","America Movil, S.A.B. de C.V.","http://www.nasdaq.com/symbol/amov","Public Utilities","Telecommunications Equipment"
"132","AAL","American Airlines Group, Inc.","http://www.nasdaq.com/symbol/aal","Transportation","Air Freight/Delivery Services"
"133","AGNC","American Capital Agency Corp.","http://www.nasdaq.com/symbol/agnc","Consumer Services","Real Estate Investment Trusts"
"134","AGNCB","American Capital Agency Corp.","http://www.nasdaq.com/symbol/agncb","Consumer Services","Real Estate Investment Trusts"
"135","AGNCP","American Capital Agency Corp.","http://www.nasdaq.com/symbol/agncp","Consumer Services","Real Estate Investment Trusts"
"136","MTGE","American Capital Mortgage Investment Corp.","http://www.nasdaq.com/symbol/mtge","Consumer Services","Real Estate Investment Trusts"
"137","MTGEP","American Capital Mortgage Investment Corp.","http://www.nasdaq.com/symbol/mtgep","Consumer Services","Real Estate Investment Trusts"
"138","ACSF","American Capital Senior Floating, Ltd.","http://www.nasdaq.com/symbol/acsf","n/a","n/a"
"139","ACAS","American Capital, Ltd.","http://www.nasdaq.com/symbol/acas","n/a","n/a"
"140","ANCI","American Caresource Holdings Inc","http://www.nasdaq.com/symbol/anci","Health Care","Hospital/Nursing Management"
"141","AETI","American Electric Technologies, Inc.","http://www.nasdaq.com/symbol/aeti","Energy","Industrial Machinery/Components"
"142","AMIC","American Independence Corp.","http://www.nasdaq.com/symbol/amic","Finance","Accident &Health Insurance"
"143","AMNB","American National Bankshares, Inc.","http://www.nasdaq.com/symbol/amnb","Finance","Major Banks"
"144","ANAT","American National Insurance Company","http://www.nasdaq.com/symbol/anat","Finance","Life Insurance"
"145","APEI","American Public Education, Inc.","http://www.nasdaq.com/symbol/apei","Consumer Services","Other Consumer Services"
